                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5739,                 3.0427,                 1.8167,                0.00344,                0.73016,                0.11919,                0.04333,                 2.2735,                 4.4815,                 2.6295,             0.00031673,             0.00031673,             0.00031673
                      2,                 1.4345,                 2.5007,                 1.6733,                  0.547,                0.13889,                0.20548,                0.05527,                  2.138,                 4.1069,                  2.554,             0.00061795,             0.00061795,             0.00061795
                      3,                 1.5653,                 2.5103,                 1.7663,                0.61635,                0.08333,                0.06242,                0.01844,                 2.9329,                 4.1942,                 3.5243,             0.00088616,             0.00088616,             0.00088616
                      4,                 1.5312,                 2.4821,                 1.7661,                0.64628,                0.13889,                0.11802,                0.03237,                 2.0315,                 3.9246,                 2.5147,              0.0011214,              0.0011214,              0.0011214
                      5,                 1.5238,                 2.4166,                 1.7365,                  0.595,                0.08333,                0.04968,                0.01751,                 2.1101,                 5.3113,                 2.8256,              0.0013236,              0.0013236,              0.0013236
                      6,                 1.4627,                 2.2299,                 1.6705,                 0.0194,                0.13889,                0.02429,                0.00799,                 2.5882,                 5.3115,                 3.2644,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.5437,                 2.2623,                 1.7275,                0.68416,                0.11111,                0.07294,                0.02296,                 2.1361,                 5.3982,                 2.7023,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.4683,                 2.1685,                 1.7199,                 0.5517,                0.14099,                0.06349,                0.02555,                 2.1317,                 4.2433,                 2.6639,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.4068,                 2.0891,                 1.6702,                0.55055,                0.11111,                0.02671,                0.00821,                 3.0453,                  5.922,                 3.2503,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.4004,                 2.1022,                 1.6556,                0.07208,                   0.25,                0.07777,                0.02587,                 2.3638,                 3.6658,                 2.6936,              0.0010069,              0.0010069,              0.0010069
                     11,                  1.565,                 2.4698,                 1.9599,                0.11553,                0.44841,                0.16078,                 0.0542,                 1.9128,                 3.7594,                  2.506,             0.00092435,             0.00092435,             0.00092435
                     12,                 1.4955,                 2.3058,                 1.8817,                0.68413,                0.22222,                0.15548,                0.06256,                 2.3439,                 3.4957,                 2.8168,             0.00084184,             0.00084184,             0.00084184
                     13,                 1.4634,                 2.2269,                 1.8699,                0.14949,                0.13889,                0.09227,                0.03746,                 2.1164,                 3.4199,                 2.4058,             0.00075932,             0.00075932,             0.00075932
                     14,                 1.4765,                 2.1373,                 1.8448,                 0.6599,                0.22222,                0.14373,                0.05082,                 1.9271,                 3.4042,                 2.3271,              0.0006768,              0.0006768,              0.0006768
                     15,                 1.4483,                 2.0781,                  1.843,                0.71087,                0.22222,                0.21489,                0.09238,                   1.79,                 3.0072,                 1.9552,             0.00059429,             0.00059429,             0.00059429
                     16,                 1.3663,                 1.9418,                 1.7887,                0.81029,                0.16667,                0.19707,                0.08605,                 1.9194,                 3.2627,                 2.0051,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.3377,                 1.8679,                 1.7197,                0.86811,                0.19444,                0.21824,                0.09279,                 1.7709,                 2.8465,                 1.9783,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.2673,                 1.7932,                 1.6853,                0.29006,                0.16667,                0.21683,                0.09858,                 1.8313,                 2.7328,                  1.994,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.2226,                 1.7822,                 1.6796,                0.82939,                0.19444,                 0.2329,                0.09741,                 1.7853,                 2.6951,                 1.9177,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.2533,                  1.828,                 1.6555,                0.34193,                0.19444,                0.24451,                0.12315,                 1.8012,                 2.7433,                 1.8994,              0.0001817,              0.0001817,              0.0001817
